model,mode,n,nulls,coverage,json_parse_success,parse_pass,schema_pass,json_pass_rate,perfect_response,prr_pass,value_accuracy,nested_field_accuracy,field_accuracy,faithfulness,path_recall,structure_coverage,type_safety,missing_rate,type_coercion,nesting_degradation,nesting_retention,L1,L2,L3,cell_score,metrics_version,value_accuracy_hardened,faithfulness_hardened,path_recall_hardened,structure_coverage_hardened
deepseek-r1-1.5b,prompt_only,4951,0,1.0,0.717,0.717,0.036,0.036,0.0018,0.0018,0.013,0.0334,0.0289,0.0158,0.0332,0.0339,0.7063,0.8969,0.0131,0.0083,0.8383,0.3079,0.0834,0.0699,0.1481,2.3,0.0109,0.0132,0.0332,0.0339
deepseek-r1-1.5b,reasoning_assisted,4951,0,1.0,0.7548,0.7548,0.0816,0.0816,0.0026,0.0026,0.0278,0.0747,0.064,0.0348,0.076,0.0775,0.7385,0.7718,0.024,0.0148,0.8679,0.3499,0.1019,0.0884,0.1736,2.3,0.0228,0.0287,0.076,0.0775
gemma3-4b,prompt_only,4951,0,1.0,0.8865,0.8865,0.731,0.731,0.2361,0.2361,0.5559,0.6519,0.6032,0.6103,0.7152,0.717,0.8717,0.1238,0.0111,0.0276,0.9626,0.7897,0.5432,0.5229,0.6131,2.3,0.5165,0.5665,0.7152,0.717
gemma3-4b,reasoning_assisted,4951,0,1.0,0.9657,0.9657,0.8035,0.8035,0.2422,0.2422,0.5989,0.6971,0.6369,0.6653,0.7854,0.7871,0.9521,0.0468,0.0087,0.0257,0.9644,0.8643,0.5867,0.5658,0.6658,2.3,0.5539,0.614,0.7854,0.7871
granite-4.1-8b,prompt_only,4951,0,1.0,0.9879,0.9879,0.9782,0.9782,0.3745,0.3745,0.7857,0.7914,0.7357,0.8637,0.9612,0.9648,0.9865,0.0133,0.0038,0.0238,0.9703,0.9787,0.7438,0.7217,0.8099,2.3,0.7345,0.8063,0.9612,0.9648
granite-4.1-8b,reasoning_assisted,4951,0,1.0,0.9893,0.9893,0.9689,0.9689,0.3609,0.3609,0.7729,0.7778,0.724,0.8527,0.9515,0.9553,0.9885,0.0238,0.003,0.0364,0.954,0.9737,0.7337,0.6999,0.7989,2.3,0.7227,0.7959,0.9515,0.9553
llama-3.2-3b,prompt_only,4951,0,1.0,0.9721,0.9721,0.7346,0.7346,0.1026,0.1026,0.4147,0.4963,0.4458,0.4732,0.6945,0.7071,0.9458,0.0868,0.0372,0.0431,0.9185,0.8227,0.4416,0.4056,0.5487,2.3,0.3602,0.41,0.6945,0.7071
llama-3.2-3b,reasoning_assisted,4951,0,1.0,0.8427,0.8427,0.6225,0.6225,0.0804,0.0804,0.3451,0.4203,0.3725,0.3979,0.5955,0.6023,0.8103,0.2041,0.0063,0.0407,0.9207,0.7055,0.3774,0.3475,0.4699,2.3,0.3084,0.3551,0.5955,0.6023
llama3.1-8b,prompt_only,4951,0,1.0,0.9842,0.9842,0.9208,0.9208,0.3226,0.3226,0.7168,0.7471,0.694,0.7908,0.8997,0.9056,0.9794,0.0335,0.0067,0.036,0.9532,0.9424,0.6862,0.6541,0.7566,2.3,0.6673,0.735,0.8997,0.9056
llama3.1-8b,reasoning_assisted,4951,0,1.0,0.8657,0.8657,0.7708,0.7708,0.2458,0.2458,0.5891,0.6148,0.5648,0.6657,0.7504,0.7562,0.8622,0.1899,0.0046,0.039,0.9461,0.8051,0.5686,0.5379,0.6334,2.3,0.5452,0.6153,0.7504,0.7562
