model,mode,rows,L1,L2,L3,cell_score,parse_pass,schema_pass,prr_pass,field_accuracy,nested_field_accuracy,nesting_retention,nesting_degradation,path_recall,missing_rate,type_safety,type_coercion,repair_exact_match,detection_f1,over_correction_rate,faithfulness,structure_coverage,metrics_version
deepseek-r1-1.5b,zero_shot,6614,0.5731,0.3582,0.143,0.3474,0.7331,0.4693,0.0975,0.4361,0.4818,1.0119,-0.0078,0.4605,0.3781,0.7141,0.0559,0.081802,0.627673,0.600722,0.3894,0.4624,2.3
gemma3-4b,zero_shot,6614,0.9143,0.627,0.3612,0.618,0.9811,0.8728,0.4259,0.756,0.7954,1.0135,-0.0109,0.8628,0.0278,0.9674,0.0464,0.372046,0.542634,0.423933,0.7503,0.8654,2.3
granite-4.1-8b,zero_shot,6614,0.8395,0.6608,0.4135,0.6347,0.8907,0.8084,0.4926,0.7322,0.7614,0.9997,0.0003,0.7986,0.1263,0.877,0.0181,0.436275,0.752675,0.374023,0.7307,0.8012,2.3
llama-3.2-3b,zero_shot,6614,0.8559,0.5848,0.3738,0.5862,0.9389,0.803,0.3893,0.7384,0.7838,1.038,-0.0312,0.7947,0.0747,0.9252,0.0417,0.328822,0.392994,0.360794,0.7095,0.797,2.3
llama3.1-8b,zero_shot,6614,0.9004,0.6737,0.2589,0.6153,0.956,0.866,0.4282,0.7552,0.8013,1.0137,-0.0114,0.8579,0.0545,0.9419,0.0293,0.455464,0.724444,0.615755,0.7713,0.8597,2.3
ministral-3-3b,zero_shot,6614,0.7177,0.5237,0.1316,0.4645,0.8839,0.6105,0.208,0.5012,0.5535,1.021,-0.0128,0.5986,0.2539,0.833,0.0101,0.207433,0.75408,0.748647,0.5102,0.6018,2.3
nuextract-3-4b,zero_shot,6614,0.8364,0.6018,0.3578,0.5877,0.9894,0.7377,0.4729,0.7519,0.7821,0.9799,0.0162,0.7259,0.0705,0.9016,0.0197,0.435064,0.806452,0.393265,0.6729,0.7296,2.3
phi-4-mini,zero_shot,6614,0.6637,0.4626,0.1737,0.4306,0.9149,0.4994,0.1888,0.4779,0.5155,0.9488,0.0289,0.488,0.3409,0.8774,0.0162,0.222379,0.821319,0.60433,0.4191,0.4917,2.3
qwen3-8b,zero_shot,6615,0.4625,0.4801,0.4006,0.4567,0.4842,0.45,0.2961,0.3938,0.4042,0.9735,0.0224,0.443,0.536,0.4826,0.0036,0.263583,0.870513,0.143029,0.4033,0.4452,2.3
qwen3.5-9b,zero_shot,6614,0.9256,0.7756,0.36,0.7017,0.949,0.9123,0.5974,0.82,0.8451,0.9998,0.0002,0.9046,0.0562,0.9426,0.0153,0.58776,0.874912,0.535779,0.8393,0.9066,2.3
